6 Pack Soft Drink
Barbacoa Bowl
Barbacoa Burrito
Barbacoa Crispy Tacos
Barbacoa Salad Bowl
Barbacoa Soft Tacos
Bottled Water
Bowl
Burrito
Canned Soda
Canned Soft Drink
Carnitas Bowl
Carnitas Burrito
Carnitas Crispy Tacos
Carnitas Salad
Carnitas Salad Bowl
Carnitas Soft Tacos
Chicken Bowl
Chicken Burrito
Chicken Crispy Tacos
Chicken Salad
Chicken Salad Bowl
Chicken Soft Tacos
Chips
Chips and Fresh Tomato Salsa
Chips and Guacamole
Chips and Mild Fresh Tomato Salsa
Chips and Roasted Chili Corn Salsa
Chips and Roasted Chili-Corn Salsa
Chips and Tomatillo Green Chili Salsa
Chips and Tomatillo Red Chili Salsa
Chips and Tomatillo-Green Chili Salsa
Chips and Tomatillo-Red Chili Salsa
Crispy Tacos
Izze
Nantucket Nectar
Salad
Side of Chips
Steak Bowl
Steak Burrito
Steak Crispy Tacos
Steak Salad
Steak Salad Bowl
Steak Soft Tacos
Veggie Bowl
Veggie Burrito
Veggie Crispy Tacos
Veggie Salad
Veggie Salad Bowl
Veggie Soft Tacos
